,estados,disponibilidad de bienes: automovil o camioneta,disponibilidad de bienes: bicicleta como medio de transporte,disponibilidad de bienes: lavadora,disponibilidad de bienes: motocicleta o motoneta,disponibilidad de bienes: refrigerador,disponibilidad de servicios en la vivienda: cisterna o aljibe,disponibilidad de servicios en la vivienda: tinaco,porcentaje de viviendas con agua entubada dentro de la vivienda,porcentaje de viviendas con electricidad,porcentaje de viviendas con piso de tierra,porcentaje de viviendas con techos de materiales resistentes,porcentaje de viviendas particulares habitadas con disponibilidad de drenaje,porcentaje de viviendas particulares habitadas con disponibilidad de excusado,porcentaje de viviendas particulares habitadas propias,porcentaje de viviendas particulares habitadas que disponen de internet,porcentaje de viviendas particulares habitadas que disponen de computadora,porcentaje de viviendas particulares habitadas que disponen de television de paga,porcentaje de viviendas particulares habitadas que disponen de telefono celular,porcentaje de viviendas particulares habitadas que disponen de telefono fijo,promedio de ocupantes en viviendas particulares habitadas,promedio de ocupantes por cuarto (indice de hacinamiento),tasa de crecimiento promedio anual de las viviendas particulares habitadas,total de viviendas particulares habitadas,viviendas colectivas,viviendas habitadas,viviendas moviles,viviendas particulares habitadas que disponen de computadora,viviendas particulares habitadas que disponen de drenaje,viviendas particulares habitadas que disponen de energia electrica,viviendas particulares habitadas que disponen de excusado o sanitario,viviendas que son casa independiente o local no construido para habitacion,viviendas que son cuarto de azotea,viviendas que son departamento en edificio o vivienda en vecindad,viviendas que son refugio,"viviendas, de cada cien que cuentan con electricidad, agua y drenaje"
14,jalisco,56.0162969747323,25.9797903079053,83.0597552876242,16.8139878356934,94.8271195818874,38.8195003509761,77.2213091020941,94.5598708476781,99.0338921743075,1.53677687974108,93,98.5899955064752,98.7187440125716,58.681391518361,61.7525863542908,44.4617092405943,51.5380656535759,91.6932082478089,43.3871296171397,3.56374060591272,0.934263684426517,2.50766492517605,2330706,1512,2332218,133,1034977,2294972,2305305,2297969,1848751,80,168582,485,97.9633507088686
15,michoacan de ocampo,48.1911240974726,21.652158384742,74.2529268051133,18.3187236766895,88.8727209208568,33.7329836685327,77.5104084543397,78.3089293192064,99.3099500846479,5.21432565146904,75.2,95.6877533880601,98.2415385251226,67.8434039791713,43.8058097071752,29.1794652249622,53.3500835561628,87.5853399679188,25.9934137624759,3.6817527844906,1.01683802153085,1.77119965892607,1284644,825,1285469,36,374189,1227072,1273522,1259821,1064788,25,33193,305,93.616589894812
16,morelos,42.002532632686,18.2433616764025,66.1462488061212,13.7906857782659,90.1903409395781,46.4772080944085,79.2372411474114,66.0902661768336,99.5183347582373,3.85117563521504,83.1,98.1273542215911,98.8399254518853,66.6641040402487,55.0579321841095,36.6391105737415,39.859095478106,89.391023462624,42.2976487295699,3.50060275227061,0.956822469494136,1.8480087813161,560669,272,560941,5,204850,548632,556409,552616,378804,28,26756,264,94.5351653186717
17,mexico,42.6073594817008,26.0212641741613,72.5356860126352,10.2154150245288,85.7889310276866,38.6514522685125,77.877949682344,75.1094679440284,99.6026861163319,2.03363849676227,89.7,97.3407614930654,98.5145945931726,65.0506906148551,56.1567867275283,40.598538030478,34.1906102559729,88.7777846226834,46.5475477711684,3.70928278080695,0.948515929327612,2.04672601478868,4568635,898,4569533,140,1851854,4440083,4543258,4493626,2808064,265,326673,617,95.3301423406639
18,nayarit,45.606936255655,23.3332129893718,73.505536285093,22.8233248814843,89.5795089410935,30.9504303222348,67.3268921542217,75.6092413053802,98.179288433927,3.13236817476165,81.6,96.1419577370521,96.6623990846453,69.7422864875141,47.0144051721983,34.907062061381,49.5930059792434,88.5083551109618,29.9964729962036,3.39581869534186,0.936081545133447,2.23986672604219,361270,326,361596,50,125693,346187,353523,348061,309295,5,11345,234,94.4323329047237
19,nuevo leon,58.4990076768273,11.5273918071526,87.064131945431,5.78461237130478,96.4321704946019,2.56535035990228,14.3305007438646,97.0664956271888,99.4887555850294,0.842643478807568,95.1,98.7386644533094,99.4681413783952,73.7258529630752,69.5753050267834,47.8475080688599,48.759792503804,92.9565910751971,55.7467390561837,3.48561025608164,0.849585050277446,3.25804485681092,1655256,434,1655690,65,791493,1633334,1645742,1645401,1431527,25,37786,77,98.2454952517805
20,oaxaca,24.8502022559246,17.8132292667621,47.3417920106681,13.1405736616256,70.4052071318167,23.1532670259554,59.9732048783879,40.6208160478354,97.4996568156414,13.2968339682987,51.3,80.3448958234909,97.2031811852964,78.3401936690132,29.3989549367739,20.4106445982782,28.6263890052645,72.4091363698761,19.9385655428642,3.65571923419079,1.13812327598006,1.84948150161361,1125892,652,1126544,40,228976,901346,1093796,1090470,850290,27,27180,732,74.1986868072801
21,puebla,35.4419115364219,26.362090145124,58.6414559520935,8.55430907818428,74.5962038926968,42.3816208675397,72.8151451385726,60.0439330164746,99.1306361166347,5.09801903842005,79.2,95.0629439564622,98.3158815457359,70.0242234221132,40.4227602727191,29.5622894047994,31.5681584441842,84.4354689238516,28.681348814937,3.83409293288843,1.03339073250268,2.15315596911227,1713381,484,1713865,24,505613,1625891,1695462,1681527,1207733,106,123683,422,91.5681233632554
22,queretaro,58.7979856080624,17.3215537540668,75.2591387605678,7.63770304195951,91.5309558475485,17.0782928597535,76.9979149066202,85.2379283279109,99.1503843641963,1.9285615851503,91.8,97.1479757218437,97.7681112529134,68.3641856075239,64.4169527678416,47.9689812401512,57.2331170348534,90.9199575791347,43.3641004439811,3.53464520458481,0.91172057320146,4.0396831212637,668487,284,668771,13,320239,648556,661924,652696,544037,18,23833,242,95.4885889070636
23,quintana roo,38.3781204060447,26.183890588096,74.711560568797,18.6531132647303,87.168451414677,24.9524492966676,90.6037720074409,85.4848429955898,97.892615532533,2.23000606140834,91.5,96.894399119354,97.576133378852,59.7748535353805,55.5967003643812,37.2473542300966,46.6024761201413,91.653022691962,27.6489051145745,3.22078157331866,1.137584698719,4.65307828594668,575489,146,575635,22,213846,556294,562025,560208,390339,30,87534,68,95.2660052532206
24,san luis potosi,50.0294146168019,30.1323334518538,74.7217894430617,16.8629149562013,87.821572873905,42.8408701554773,71.6576267899279,69.559815108123,98.4703106312829,4.89123056534247,81.3,90.7587678184698,97.957914471345,74.1329824309975,44.5347641982093,34.0361379577852,44.9055823124414,84.4548598765233,34.5992177651356,3.6356130200084,0.926316993843346,1.99111317755076,774658,358,775016,25,263244,701951,761594,757631,654810,9,23346,211,86.0907004557649
25,sinaloa,57.3488348657931,22.1099551100805,77.0827059563803,18.6710896497743,95.0157073706881,6.05972902002646,49.1002682146326,86.7964345850407,99.3635028901328,2.28456998363059,94.6,96.9153559614774,98.0685968589946,76.2266518063625,51.6816436436413,38.2743101001733,53.6555814773717,92.258100046753,24.6622710245002,3.49556549463864,0.970586530640686,1.87440364942717,854816,455,855271,98,326641,827096,847989,836938,740743,15,20832,249,95.8908908967555
26,sonora,64.4089662957587,17.7847087120471,76.119957773912,7.91498968937749,94.2024907902066,6.08321009766212,43.9919893954418,89.2398961046091,98.9213590578504,2.43909412917843,75.4,95.1921504310103,98.9024877021665,74.3127618213181,60.6755259103714,43.5654967569861,57.3598859026398,92.7988050428837,28.0179014823736,3.33955516211638,0.884216694459745,2.14947082809578,876333,493,876826,945,380911,832304,864910,864745,765687,3,10732,261,94.007829897031
27,tabasco,27.9835329386105,21.3630502359062,75.3472772803021,17.4438956088834,86.533450214365,10.0467324670973,43.691864900686,66.8820289430145,99.2867464688864,3.44061057374425,41.9,97.5251538551294,97.6892560203205,76.155824276293,34.1797733983958,25.3374042238731,41.409543356181,84.2785039626858,17.7306630206167,3.58271377411045,1.09830344563718,1.71128072627957,669303,111,669414,19,169377,651942,663718,653039,445738,17,30959,82,91.9217455563766
28,tamaulipas,58.7692806482777,15.6223265245311,79.7963262640356,6.60552831389144,94.2203735580216,5.56588895958291,38.4493209782261,89.4460910216202,99.1963058366918,1.5001916234772,87.9,94.7477363598286,99.4095748020281,68.4905438187428,54.3705613865106,35.6926603054544,40.7187239094563,92.3003906495239,38.7142205234835,3.29206510138241,0.910469228055722,1.76598948492988,1069121,259,1069380,74,380911,1011145,1058620,1060896,853700,24,36247,96,94.0086975506865
29,tlaxcala,39.400329663239,31.7852261595406,58.1201569713216,8.27472327645371,75.7509810707603,28.8047654522311,82.9117710893552,70.4702100576617,97.9316857992574,1.83367844342639,94.1,96.5710917015198,97.0280448388932,76.0566445597988,38.669439279199,28.3032315209676,36.6020049625463,84.963367492389,28.5768754729377,3.92664699636901,0.996095182016975,2.2771785210262,341577,79,341656,2,96501,329263,333902,330821,255879,3,11174,49,95.6445737548174
30,veracruz de ignacio de la llave,28.9477269821173,12.6808970910989,62.9621027433011,13.4453404548342,81.7276906339547,14.5606043772914,55.1656943777735,61.6191911590536,98.6061506792746,5.73521181084701,54.7,91.0307240495291,98.116896864709,72.9570192247942,40.2278992061679,25.8993864413388,38.3588825560263,82.6648611370225,26.6634524885076,3.36702546677204,0.977279860183006,1.77126482971117,2390726,536,2391262,34,617769,2171324,2352018,2340348,1683236,63,90242,484,85.246251464722
31,yucatan,38.4567374072738,39.3891372751394,74.8720899609838,23.8983600418324,84.1408296760424,16.8176012738485,79.4441222273473,78.131759899042,98.9167416392275,1.4081140861644,92.6,92.1937199634042,93.5235885749429,76.5206349975984,51.6270948551317,37.5164216548157,46.6615517873915,88.359539478191,26.8532684230797,3.52204041059084,1.05116813348953,2.70603278769403,658085,266,658351,21,246448,605627,649791,614363,595767,3,4994,90,91.3483948260561
32,zacatecas,60.4325932759467,30.8312022484359,84.2200229275341,20.5230824192845,92.3500270201215,19.5802045389282,89.0949502897597,77.4916735064882,99.2986073897206,1.32907342463647,85.8,96.2610482902707,97.0910973787091,70.4480926608859,46.340073666574,31.5131494156192,48.4636969405082,84.2969002607046,31.2149105848782,3.65480494637806,0.90770396766451,1.66058236606461,442623,212,442835,17,139371,425727,439161,429398,399549,5,4720,42,94.9016761519729
